k [N/m],c [N·s/m],RMS [m/s^2],T_max,Cumple_RMS,Cumple_T
15000,1200,0.043152452942729194,1.839849220114697,True,False
15000,1400,0.039929779140574564,1.706575510548347,True,False
15000,1600,0.037330819984665815,1.5990671412746147,True,False
15000,1800,0.03517685969689972,1.5120582789253507,True,False
15000,2000,0.03335368776342399,1.4411397255912404,True,False
15000,2200,0.03178391892459091,1.3829478634424872,True,False
15000,2400,0.03041358875782843,1.3347840234424961,True,False
15000,2600,0.029203745267500573,1.2948635659102883,True,False
15000,2800,0.028125426280430858,1.261278388261686,True,False
15000,3000,0.027155349880584934,1.2333771105323792,True,False
15000,3200,0.026279430768207036,1.2089733964018186,True,False
15000,3400,0.025482574414046385,1.188383101695176,True,True
15000,3600,0.024751739920087355,1.1704401898341543,True,True
15000,3800,0.024078718272764053,1.1548668498719545,True,True
15000,4000,0.023456370715622205,1.1411633465342208,True,True
15000,4200,0.0228786499194536,1.1292755087640538,True,True
15000,4400,0.022340463492052584,1.118758002490882,True,True
15000,4600,0.021837492752553037,1.1093922932540417,True,True
15000,4800,0.021366031179721294,1.1011327216122895,True,True
15000,5000,0.020922907197145964,1.0937598049715949,True,True
16000,1000,0.050450375995097066,1.9565224318338594,True,False
16000,1200,0.04602916536558353,1.8188718336820504,True,False
16000,1400,0.0425915932594489,1.7016958773010487,True,False
16000,1600,0.039819359416718325,1.6038116968310916,True,False
16000,1800,0.03752179071372019,1.522312692133957,True,False
16000,2000,0.0355771980850482,1.4544549015542252,True,False
16000,2200,0.03390288556173701,1.3977833630093244,True,False
16000,2400,0.03244135652203606,1.3501439824211245,True,False
16000,2600,0.031150864739662786,1.3101333517717897,True,False
16000,2800,0.03000104742183616,1.2763223837282704,True,False
16000,3000,0.028966242265446092,1.2475922339241903,True,False
16000,3200,0.028030270637606915,1.2226843368599012,True,False
16000,3400,0.02718056126927072,1.2011335639368257,True,False
16000,3600,0.0264014450971662,1.1825435225240792,True,True
16000,3800,0.02568371632073947,1.1662616516266044,True,True
16000,4000,0.025019953228584402,1.1518433775525054,True,True
16000,4200,0.02440376403171699,1.1392967526031221,True,True
16000,4400,0.023829723183980484,1.1281092010940414,True,True
16000,4600,0.023293231119716817,1.1183046697003984,True,True
16000,4800,0.022790353982950234,1.1094466247872747,True,True
16000,5000,0.02231769690060599,1.1015682527936679,True,True
17000,1000,0.053603262859787865,1.9053131487476966,True,False
17000,1200,0.048905935222491086,1.7905518989597204,True,False
17000,1400,0.04525340994887456,1.6889696563379901,True,False
17000,1600,0.0423078850409345,1.6012598308753483,True,False
17000,1800,0.03986675702274152,1.5262921759227015,True,False
17000,2000,0.037800613934598375,1.4624787067804055,True,False
17000,2200,0.036021797587546124,1.4081179159993598,True,False
17000,2400,0.034469075112569705,1.3618348214604121,True,False
17000,2600,0.03309804113517706,1.3221903751075168,True,False
17000,2800,0.031875977528827606,1.2881274551251445,True,False
17000,3000,0.030777436278680237,1.2596446686404201,True,False
17000,3200,0.02978231450685625,1.2344294395249076,True,False
17000,3400,0.028878068838904886,1.212458070350337,True,False
17000,3600,0.028050949440274597,1.1932938042759675,True,True
17000,3800,0.027288624428992547,1.1765767545352035,True,True
17000,4000,0.026583486078557338,1.161657214302906,True,True
17000,4200,0.025928841935724548,1.1485448224526673,True,True
17000,4400,0.02531895947830937,1.1368686384042865,True,True
17000,4600,0.02474895615970874,1.1266045907430382,True,True
17000,4800,0.02421466175810375,1.1172680626731089,True,True
17000,5000,0.023712476266282985,1.1089189347479909,True,True
18000,1000,0.05675615266931059,1.854373680098843,True,False
18000,1200,0.05178271561537608,1.7589016185721742,True,False
18000,1400,0.047915236527675445,1.6716639070909423,True,False
18000,1600,0.044796397226997485,1.5938811208341521,True,False
18000,1800,0.04221170558537037,1.525682599055663,True,False
18000,2000,0.0400238803301051,1.4661323774997526,True,False
18000,2200,0.03814066617404516,1.4145655261762522,True,False
18000,2400,0.03649673485530483,1.370131816770429,True,False
18000,2600,0.035045206082367435,1.3316152210196146,True,False
18000,2800,0.03375116270573832,1.2985021671496955,True,False
18000,3000,0.032588553870343005,1.2695472463281157,True,False
18000,3200,0.031534682921291045,1.244527082069005,True,False
18000,3400,0.03057567812121851,1.2223751244883334,True,False
18000,3600,0.029700136871051996,1.2028321737262184,True,False
18000,3800,0.02889340633210273,1.185754025256031,True,True
18000,4000,0.02814695451925801,1.1705433149414297,True,True
18000,4200,0.027453879323667062,1.157010517424693,True,True
18000,4400,0.026808167587020426,1.1449361398470426,True,True
18000,4600,0.02620466180792435,1.1342946746151212,True,True
18000,4800,0.025638950019785004,1.1246185441852854,True,True
18000,5000,0.025107239082093308,1.115864333319241,True,True
19000,1000,0.05990903363444059,1.8047511754499632,True,False
19000,1200,0.05465934634169352,1.7253485180121424,True,False
19000,1400,0.0505770745048342,1.6506500869414846,True,False
19000,1600,0.04728490047264506,1.5821451431527898,True,False
19000,1800,0.04455662968130185,1.520600887280748,True,False
19000,2000,0.042247323419147054,1.465944096858203,True,False
19000,2200,0.04025950086615533,1.4178530121615243,True,False
19000,2400,0.03852435128988631,1.375584885277343,True,False
19000,2600,0.036992313220537996,1.3385429718688453,True,False
19000,2800,0.03562644047184692,1.306029551927419,True,False
19000,3000,0.034399422047878825,1.277441925596501,True,False
19000,3200,0.03328731989836737,1.2529876623237601,True,False
19000,3400,0.032274370329579284,1.2308340964669875,True,False
19000,3600,0.031348910350701635,1.2111808867606415,True,False
19000,3800,0.030498000911359333,1.1940032270217729,True,True
